Data,H2,LPG,CH4,CO,Alcohol
26,1.27,9,14,1.6,16
26,0.8,8,12.785,1,15
26,0.275,6.742,11.668,0.3785,13
26,0.1417,6,11.1467,0.21875,12.785
26,0.0518,5,9,0.09,12.214
